Company,Image,employerprofile_employerrating_lq_zl,jobcard_seolink_r4hue_URL,Title,Location,Salary,Description,Salary1,mlxsm,Description2,dflex
Millennial Software5 ★,https://media.glassdoor.com/sql/8113263/millennial-software-squareLogo-1682522759057.png,5 ★,"https://www.glassdoor.com/job-listing/machine-learning-data-scientist-ts-sci-with-poly-100k-200k-15-401k-millennial-software-JV_KO0,66_KE67,86.htm?jl=1008841021673",Machine Learning Data Scientist TS/SCI with Poly $100K- $200k + 15% 401k,"McLean, VA",$100K - $200K (Employer est.),"Work will include high technical skill in programming, primarily python, and common data engineering tools, as well as high levels of collaboration,……",(Employer est.),Easy Apply,data,30d+
"Quality Insights,Inc3.5 ★",https://media.glassdoor.com/sql/429733/wvmi-squarelogo-1432625370254.png,3.5 ★,"https://www.glassdoor.com/job-listing/senior-statistician-quality-insights-inc-JV_KO0,19_KE20,40.htm?jl=1008868902322",Senior Statistician,"Charleston, WV",$66K - $98K (Glassdoor est.),A bachelor’s degree from accredited college or university in statistics or relevant discipline plus 10 years of full-time paid experience in statistical……,(Glassdoor est.),Easy Apply,,30d+
"PL Consulting, Inc.",https://media.glassdoor.com/sql/2192416/pl-consulting-va-squarelogo-1639126522050.png,,"https://www.glassdoor.com/job-listing/cyber-data-scientist-pl-consulting-inc-JV_KO0,20_KE21,38.htm?jl=1008869819432",Cyber Data Scientist,"Chantilly, VA",$180K - $195K (Employer est.),"Import and transform data into usable sets for analysis tools used by the customer (e.g., Tableau). Collaborate with RMG teams to develop means to integrate,……",(Employer est.),Easy Apply,data,30d+
"innoVet Health, LLC4 ★",https://media.glassdoor.com/sql/7575446/innovet-health-squarelogo-1660730851088.png,4 ★,"https://www.glassdoor.com/job-listing/senior-data-scientist-with-ai-and-ml-experience-innovet-health-llc-JV_KO0,47_KE48,66.htm?jl=1008843882991",Senior Data Scientist with AI and ML experience,Remote,$140K (Employer est.),"Please answer 2 if you are a US citizen, 1 if you have a valid green card, 0 if neither. Lead team in the application of operations research techniques and in……",(Employer est.),Easy Apply,,30d+
CAPITAL Services4.1 ★,https://media.glassdoor.com/sql/2092289/capital-services-squarelogo-1525932299764.png,4.1 ★,"https://www.glassdoor.com/job-listing/data-scientist-capital-services-JV_KO0,14_KE15,31.htm?jl=1008882782096",Data Scientist,"Sioux Falls, SD",$86K - $125K (Glassdoor est.),"Effective written and oral communication to both technical and non-technical teams. Completed a four-year degree in a quantitative field (Mathematics, Data……",(Glassdoor est.),Easy Apply,,30d+
Quiet Professionals LLC4.5 ★,https://media.glassdoor.com/sql/1174877/quiet-professionals-squarelogo-1560931964135.png,4.5 ★,"https://www.glassdoor.com/job-listing/data-scientist-quiet-professionals-llc-JV_KO0,14_KE15,38.htm?jl=1008728306030",Data Scientist,"Doral, FL",$160K (Employer est.),"Design, develop, and modify software systems, using scientific analysis and mathematical models to predict and measure outcome and consequences of design.…",(Employer est.),Easy Apply,,30d+
Flight Safety Foundation,,,"https://www.glassdoor.com/job-listing/senior-aviation-data-scientist-flight-safety-foundation-JV_KO0,30_KE31,55.htm?jl=1008905430111",Senior Aviation Data Scientist,"Alexandria, VA",$130K - $160K (Employer est.),"A Bachelors degree in a field relating to data science, modeling and operations research is required. Conduct webinars, roundtable discussions and presentations……",(Employer est.),Easy Apply,data,19d
DataAnnotation4.2 ★,,4.2 ★,"https://www.glassdoor.com/job-listing/software-engineer-ai-trainer-dataannotation-JV_KO0,28_KE29,43.htm?jl=1008856256410",Software Engineer - AI Trainer,Remote,$30.00 - $35.00 Per Hour (Employer est.),"Once approved, programming-specific projects may have their own assessments to assess your skill level and help you understand the type of work involved.…",(Employer est.),,,30d+
"Sancorp Consulting, LLC4 ★",https://media.glassdoor.com/sql/2338418/sancorp-consulting-squarelogo-1637068785910.png,4 ★,"https://www.glassdoor.com/job-listing/senior-data-analyst-sancorp-consulting-llc-JV_KO0,19_KE20,42.htm?jl=1008630168632",Senior Data Analyst,"Arlington, VA",$120K (Employer est.),"Three (3) years’ experience data engineering either developing or maintaining databases such as CMIS, DCPDS, ADVANA and other similar tools for DoD.…",(Employer est.),Easy Apply,data,30d+
Drax Group3.2 ★,https://media.glassdoor.com/sql/37485/drax-group-squareLogo-1616753107204.png,3.2 ★,"https://www.glassdoor.com/job-listing/data-scientist-drax-group-JV_KO0,14_KE15,25.htm?jl=1008935898454",Data Scientist,"Houston, TX",$68K - $107K (Glassdoor est.),"Ideally you will be a degree holder with a quantitative analysis background and a minimum of 2 years non-academic production data science experience, including……",(Glassdoor est.),,data,3d
Clarip1 ★,https://media.glassdoor.com/sql/3014935/clarip-squarelogo-1637063406484.png,1 ★,"https://www.glassdoor.com/job-listing/associate-general-and-data-privacy-counsel-clarip-JV_KO0,42_KE43,49.htm?jl=1008935415723",Associate General and Data Privacy Counsel,"Tysons Corner, VA",$83K - $127K (Glassdoor est.),"An active, good standing membership in at least one U.S. state bar. Work closely with graphic design and marketing teams in developing white papers and other……",(Glassdoor est.),Easy Apply,,3d
Upen Group Inc,,,"https://www.glassdoor.com/job-listing/data-scientist-junior-level-upen-group-inc-JV_KO0,27_KE28,42.htm?jl=1008938910226",Data Scientist (Junior Level),"Irving, TX",$40K - $64K (Employer est.),"The ideal candidate will have strong analytical skills, excellent attention to detail, and a desire to learn and grow in the field of data analysis.…",(Employer est.),Easy Apply,data,1d
"Sysdata Consulting, Inc",,,"https://www.glassdoor.com/job-listing/contract-senior-statistical-programmer-remote-sysdata-consulting-inc-JV_KO0,45_KE46,68.htm?jl=1008801651657",Contract Senior Statistical Programmer (Remote),Remote,$100.00 Per Hour (Employer est.),"Provide infrastructure support for internal programming team: set up and maintain standard directory, author technical user guides for utilities, draft good……",(Employer est.),Easy Apply,,30d+
Discover Financial Services3.8 ★,https://media.glassdoor.com/sql/13990/discover-squarelogo.png,3.8 ★,"https://www.glassdoor.com/job-listing/senior-principal-product-owner-machine-learning-operations-discover-financial-services-JV_KO0,58_KE59,86.htm?jl=1008815566848",Senior Principal Product Owner - Machine Learning Operations,"Riverwoods, IL",$118K - $165K (Employer est.),Partners with business technology to create technical features that are required to continuously optimize system components and underline infrastructure……,(Employer est.),,,30d+
National Security Agency3.7 ★,https://media.glassdoor.com/sql/41534/national-security-agency-squareLogo-1684171280881.png,3.7 ★,"https://www.glassdoor.com/job-listing/data-scientist-national-security-agency-JV_KO0,14_KE15,39.htm?jl=1008900386919",Data Scientist,"Fort Meade, MD",$81K - $184K (Employer est.),"A degree in a related field (e.g., Computer Information Systems, Engineering), a degree in the physical/hard sciences (e.g. physics, chemistry, biology,……",(Employer est.),,,21d
