Title,Title_URL,Company_name,Location,css1ihavw2,metadata_divcontainsclass_css1ihavw2,Description,Description1,Description2,date,Location3,more_loc_URL,more_loc,Title1,Title_URL1,Titl1,Location1,css1ihav1,metadata_divcontainsclass_css1ihav1,Description3,Descriptio1,date1,more_loc_URL1,more_loc1,Locatio1,Description4
Applied Research Mathematician/ Mathematical Statistician,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AC5S5KfpcrE62cRuYLg6qW_HWiPjKHP06qk-AGfbwYtOHGk5utQAbhlcSYjmxeK_H4ERVvxIPtHkE9zWaQvmAC-NE9HRKwI58atZmJrUp4jvS88Xb03eYvXFmYqoJtOazozh1wXSFRmw4eF8FyqmcJS02HjBNdkt5N4gT2mJCyScR0S4jIprTiRB5AkjNbKx7pIrazawcRLw5vOvhGGF4I_VWdbcbxP__W8YBHag4H5vKRELDYM3CcmUC1RRcWIw-dliQjdIGB_kj9JmeXiE6CVEL4QT0KxCssdP5h-V1xKWgzNa_hlT5s6S3n2DYJQ-I3_4pqnzMzsqiQLErRZl7L8MvI8RtQsr2fPX7cxNkzyayXym0EQt8nrVkqGvs5QyQ91k1LByFPjHC42Nn9ut4kB6JtVV3vcPEe5Uv7CjOyNrwcyyKnHbAN5ctcnu_TDzcWAKqsJUX4BeHzxV5NyNMR33A8C_5GLRl9LbjgWnul0wN23mnGVR8usG_BANOG7HvnyMgp2Xz6S98bhOpViW5CKORHMAsY3NdKvHqp9xH9SYiwAnR_8wH6D3qBU8gOtXQ6hmf0hEEBtCe3BGIw356cVsDS-ByvVt78XHdNfIQxlP3_jDZFZ1Wj&xkcb=SoDe-_M3JtNQXpRyp50LbzkdCdPP&p=0&fvj=0&vjs=3,National Security Agency,"Fort Meade, MD","$81,233 - $142,341 a year","Monday to Friday
+2",,,,"Posted
Posted 28 days ago",,,,,,,,,,,,,,,,
Data Scientist,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AC5S5KfpcrE62cRuYLg6qW_HWiPjKHP06qk-AGfbwYtGlr3wcSMURH9oqKq1q2FCfUEVrCkUcUvYkaqaQqQ4KG5_TQBvz1oR33pkfr9ubYgwx2u-0l-BfYDz--nCzoVP35cPIFb5Il-B9gGtxFg2TyxVM2s7ixtrfbjhGiCmW1OKXShjyPdVv-f1bnUy-4FT12QDM8rt08rOStJFhfnKuBgaaxIDy3-q9hTBd5WAIbjqayHffzv0auWEaoMnENAAkMihXv2Pw5NF5nFC1KqgqiGmSR5Rme1SHbjMQOkr9lhUYAzWufiiwVbl5_7Pyknf1Ah1UcJoe5BfDhkveEnQPVEUFZ8wmTGWbHhkkCMfTAQrLcgxgCUXk-l4CTzQjwE9iCcPluyO4SkVOcs4_Syjm1rgTJfQkanfRi3uwSWehKMWeO1X1OAsG4gGnJLLVnzEP1mQVcLbQoz2sA-urETV0Kxob-Xr7EJYbR9fN0muOuihdTaZA5Pp3oD8Vq_fdiXm3BmlbjiLx33IGOuLYGpkmNLKTnbByfejr-E_ISz7TK7v83_lYpX_TmrPo5VZRJym3owhp7EGUNI0u3RFfpb3RSxK7ULpVjzXs=&xkcb=SoBq-_M3JtNQXpRyp50KbzkdCdPP&p=1&fvj=0&vjs=3,National Security Agency,"Fort Meade, MD","$81,233 - $183,500 a year",Full-time,,,,"Posted
Posted 21 days ago",,,,,,,,,,,,,,,,
Senior Predictive Modeler,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0C2pP6k9OuB9dVVqjF_PdujusYNLdeVulQvAlytZ7WHPLDUR8wUESqpcdgIq0kFHzHwAmhYBtIxYfzjD7L6Edx9ayLlFNoeQY5NHi5n9DqYViHfYFh1me92fmGT3A0fx0tvZvFbukpezZHVEsjCXUavn0wq9_zWiOvv1ODTalxjQ0BhS756ICL306U6NqBWk0EVckZucDflEVg3MqZ_E5Da7ql1FMOkggbCQ50Cz-KxCql07sRrWG3ybrJnuURLBvbA9dtC1D2UZ8rgYn4AqiDD4DZHyHfEMMa2DGza4KiAnD3FAXaeyusSYnh3j4Aov2tSS8Aq2At47Gkny6uICCKb28RpSi8NqgQ9ILHaeHo-36fqd7Q1VksUeRNJH95UR3UNKYOmciyYAmeiMOjevDQHz1VESZyblvlb7pZ-sBGFo6116Iul4OlEOAgbT5v7nc3x-sw_fAFN_vvFzrdgjbVflQRlLw_ueaTO39SdaAaGyMcJYqlBpWB342rq2XybmclAwEqXjrauYdS0KhGXmuX0V-xjhszq1ZhAaoL5qZyjffdH27ZcChSswgK74HdToxtR0G9m9lqqxOZ2cPQKduLLpMazLFnaWK_r0B5A-rWdIw==&xkcb=SoD3-_M3JtNQXpRyp50JbzkdCdPP&p=2&fvj=1&vjs=3,Sitewise Analytics,"Dallas, TX","From $90,000 a year",Full-time,,,,"Employer
Active 3 days ago",,,,,,,,,,,,,,,,
AI Developer - Contractor,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DY0o1vBkDF7ijZdphmN8ZpJjzNfoJ8hIIfocg_Q3_4rrU9MZaBYUA8inFsKV3suctbWkEVESkYcNgP7wRdHhF7Bq29ekffgM_hjURF1_Sv1RpsQIkEkeWDWLoEjO-_N-LrOTZHE_I2WrnlUvus4pSU6jSPzJ9CZMa7zMGWPwY1MMl21SPcmZNdAiLBKBSopf2Z-E51te9enSz_iJHeY2GYJK0paJcDuOKM2iItBYfI2E8kqU_8671HFQ8vYAXvynwzhmHowIZnvvOH_WGxs41TvDT30urLX9Da9lhB613D2jr6ik2Gv7Ag28mRQvugbqeePfgbH-wFNoJ2ydjLMnSxFj4C9BfhBIW8WJotlD56eQa5qTaB2T59q3kBKIGtLGEPrV2CiOkOFYmBHH3Tf9yWM8YwcUUZojl8MqU8Eh_Kusi2br2yloNxSWmgpdflVUotrqXWiLbVxYzgg82MAo-OzUbuOeBc_jxKm82pNE-k-SsXG8RLd0zb6gOr2EbgKFnpV-ldGTd9-OFDm4y7mMtdES8YB7lNLNGQ8Fm0NyM2ugVVt7gX24JRJhTAFYcacgcVs-_8lSTfSf1DlCpdwJ7-Y7sxTo3v1bdQpr2qCEAGAT3B4gSj0d06alxyJWvS81IyyfUmg2NI0Kvkvpc0BkJPXUzRtw1Og8Tmx6UpDaDpK1fwneciKsHs9HuxLsJvVIELnlfOXjQRSWCTIfFDHMiaFNiVJO5DfTNhg6BJizRxTAnc1N1PjNLC8WTLe3okhPnByrEk7j6vFw==&xkcb=SoBD-_M3JtNQXpRyp50IbzkdCdPP&p=3&fvj=0&vjs=3,EY,"North Palm Beach, FL",$100 - $130 an hour,Full-time,,,,"Posted
Posted 4 days ago",,,,,,,,,,,,,,,,
Lead Data Scientist,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Cj-KmZPsf9w80C8b1WzNVrlanjD2SXJjxuCbUWHsXPZkFBy4Qr63BQKSyytxWB3SgLm-f0nIvEw1WHNc8pJffuu7UFqUfiETsyrpSNbs-G1mW8HQdUS02o1vSsV1T29ezpc7JQQ9W_096tXWKfLtqsRBEJyDD5OSK6bQtwnMwA4jiAkjmj8TvwD_Fc9m4vqnZteHxPNpx5cNFhYtnp2zJXN3Nfv8gJtfrszdVqIUxj2hHbBlBozOKNss685ZhNXruTaZdFM95BJm9zOYbwR0Twtj65U_aiODnnqsVeBfuPSkbgKxI0WfWNAuopE3N5-LslF77BgAzwe__gGx1h7Hb_k38gzKvbmP9xfYFym3HPmJ6kKoGZgiuXqXxbe_9I4yYV5gGWqu0ieEctsR4Bhof_5SQ4TgNUkUuGFTv9OnLJ2v96Mfx2hObaayaF-ABhbY9uj2JiLtLQvpp9Diiktr21Ph4rd_Pbr4K9M7Sd-AWp5dN-60gQf26B2I0CUZNm4LMpXQUgjIVVLOSg9rm2bbY0WId_GlEagHqL1p381xmu3c-BMStjKUQ4oNmDmxyiOXrtS3M7uKnlDd1rCkJ2sb3LzQAVf1DzDlQF0WgZLy_29NkcvysdYfMS_MGCCCGt2_KwtdK38_qfi-P3pJ5-8OaKSxFt0L_oFA2p-qJXnVtxKlcFveG27bNMRKYaPPK4mbtnGMxVMoEvXjSN28O-WC06SJLPNG_c3VXS8lkzvwbdwzR6Uw4K0yrbcyQMHj74G7gZXooEdu8PnOO6Zzhe8fRDF3dkTbwKYy4bi62uEF9tdVgCJuw50ztvwg5R4ON0IsMWvb4RwIrcYld0dpwaPuIrFa5AsUEXa2Kj9SBk8X0mzkGmDhSmUrbOos0KoT6SVm5GhEaW-MR3ihY43rTrqxcBrqpWFZ2UeqSazCT0u1j4fCNGOxQVBw9xMDcJszavqEQwf3FZiXvKNe9ZTLaw6x4o8sERlkayr8xu5QGyR6m-WKAW2Yt0Fr2usLQkwLgWWWJUXjv4YvFKmWgpTUf2YZlCFMOPCBUPpkfeiCgS7KuhpHbaIVbudejTHS9Rh7XvjpPTgM32PnL0fox_oLqbLwhlceMztOltqrJGKUZyaWYxQkg0CYVVKwP7yPvyEr_snb9xskVuc9Xe649seNGTNRPkthpJ0NHvqFn9FgGQfZWeFXpl1jTWDBpC2gZ3EguDtXKmDlnzmZdoTsdAV5Rm-hVeW-MLjCQuXNxKnSCqW1KFLv4835CJ2oXZ&xkcb=SoDN-_M3JtNQXpRyp50PbzkdCdPP&p=4&fvj=0&vjs=3,Comcast,"Philadelphia, PA 19148 
(Stadium District area)",Full-time,Full-time,,,,"Posted
Posted 30+ days ago",(Stadium District area),,,,,,,,,,,,,,,
College Graduate - Data Science (BS/MS),https://www.indeed.com/rc/clk?jk=3c21a0e654ace006&fccid=936367796261bd6e&vjs=3,INTEL,"Santa Clara, CA","$105,930 - $158,890 a year",Full-time,,,,"Posted
Posted 30+ days ago",,https://www.indeed.com/addlLoc/redirect?tk=1hdd2nrugi47d803&jk=3c21a0e654ace006&dest=%2Fjobs%3Fq%3Ddata%2Bscientist%26l%3DUnited%2BStates%26grpKey%3D8gcGdG5mdGNsuA_7Y6oQGwoJbm9ybXRpdGxlGg5kYXRhIHNjaWVudGlzdA%253D%253D,View all 20 available locations,,,,,,,,,,,,,
Entry Level - Associate Data Scientist - Commercial,https://www.indeed.com/rc/clk?jk=10a0d9d6df49cc76&fccid=de71a49b535e21cb&vjs=3,IBM,"Atlanta, GA 30301 
(Buckhead area)","$93,000 - $121,000 a year",Full-time,,,,"Posted
Posted 30+ days ago",(Buckhead area),https://www.indeed.com/addlLoc/redirect?tk=1hdd2nrugi47d803&jk=10a0d9d6df49cc76&dest=%2Fjobs%3Fq%3Ddata%2Bscientist%26l%3DUnited%2BStates%26grpKey%3D8gcGdG5mdGNsuA_oO6oQJwoJbm9ybXRpdGxlGhplbnRyeSBsZXZlbCBkYXRhIHNjaWVudGlzdA%253D%253D,View all 2 available locations,,,,,,,,,,,,,
DATA SCIENTIST,https://www.indeed.com/rc/clk?jk=190a082079ea8382&fccid=3e901f592b439cea&vjs=3,Centers for Disease Control and Prevention,"Atlanta, GA","$69,107 - $177,978 a year",Full-time,,,,"Posted
Posted 17 days ago",,https://www.indeed.com/addlLoc/redirect?tk=1hdd2nrugi47d803&jk=190a082079ea8382&dest=%2Fjobs%3Fq%3Ddata%2Bscientist%26l%3DUnited%2BStates%26grpKey%3D8gcGdG5mdGNsuA_PwQGqEBsKCW5vcm10aXRsZRoOZGF0YSBzY2llbnRpc3Q%253D,View all 2 available locations,,,,,,,,,,,,,
Jr. Data Scientist,https://www.indeed.com/rc/clk?jk=5ea44f656f2bf465&fccid=1f46884a3fc52544&vjs=3,Kyla,"Remote in San Jose, CA",Full-time,Full-time,,,,"Posted
Posted 30+ days ago",,,,,,,,,,,,,,,,
Data Scientist,https://www.indeed.com/rc/clk?jk=3876c440eeabc650&fccid=bb0aec68dcf6568e&vjs=3,Kickstarter.com,Remote,"$110,000 - $130,000 a year",,,,,"Posted
Posted 13 days ago",Remote,,,,,,,,,,,,,,,
